17:00:41.3388  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:00:41 PM }
17:00:42.9561  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:00:42 PM }
17:00:44.2854  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:00:44 PM }
17:00:44.8726  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:00:44 PM }
17:01:17.9684  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:01:17 PM }
17:01:22.8045  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:01:22 PM }
17:01:28.3724  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:01:28 PM }
17:01:31.2500  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:01:31 PM }
17:01:34.3990  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:01:34 PM }
17:01:37.0814  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 2:01:37 PM }
17:01:40.0567  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:01:40 PM }
17:01:42.4085  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 2:01:42 PM }
17:01:45.3621  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:01:45 PM }
17:01:47.3180  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:01:47 PM }
17:02:46.6908  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:02:46 PM }
17:31:21.2961  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:31:21 PM }
17:31:30.3775  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:31:30 PM }
17:32:19.2328  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:32:19 PM }
17:32:34.1717  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:32:34 PM }
17:32:36.6775  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 2:32:36 PM }
17:32:49.3327  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 2:32:49 PM }
17:32:50.9755  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 2:32:50 PM }
17:32:56.5443  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:32:56 PM }
17:32:58.8135  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/6/2023 2:32:58 PM }
17:46:11.2612  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:46:11 PM }
17:46:32.3637  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:46:32 PM }
17:46:36.7493  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:46:36 PM }
17:46:39.1730  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 2:46:39 PM }
17:46:44.2948  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/6/2023 2:46:44 PM }
17:46:49.7602  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/6/2023 2:46:49 PM }
17:46:53.8654  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:46:53 PM }
17:46:57.2643  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/6/2023 2:46:57 PM }
17:47:54.7636  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:47:54 PM }
17:48:07.5978  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:48:07 PM }
