22:29:01.2517  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:29:01 PM }
22:30:00.5623  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:30:00 PM }
22:30:02.6482  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:30:02 PM }
22:30:03.5823  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:30:03 PM }
22:30:09.9116  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:30:09 PM }
22:30:41.8411  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:30:41 PM }
22:32:26.1988  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:32:26 PM }
22:36:17.2929  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:36:17 PM }
22:37:03.3376  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:37:03 PM }
22:37:17.3318  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:37:17 PM }
22:41:29.5810  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:41:29 PM }
22:42:55.7626  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/14/2023 7:42:55 PM }
22:48:31.9623  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:48:31 PM }
23:02:55.4825  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:02:55 PM }
23:02:56.5707  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:02:56 PM }
23:04:20.3647  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:04:20 PM }
23:06:36.6401  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:06:36 PM }
23:06:45.3753  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:06:45 PM }
23:06:53.5129  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:06:53 PM }
23:07:01.4028  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:07:01 PM }
23:07:14.2097  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:07:14 PM }
23:07:34.6610  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:07:34 PM }
23:07:53.3749  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:07:53 PM }
23:08:25.0647  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:08:25 PM }
23:08:34.7015  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:08:34 PM }
23:13:05.1061  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:13:04 PM }
23:14:14.7238  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:14:14 PM }
23:14:20.8696  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:14:20 PM }
23:16:05.0017  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 8:16:04 PM }
23:26:06.6605  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/14/2023 8:26:06 PM }
